# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:29:53
# test: turn 4
# period_ms=10 samples=212 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=362 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=212
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
1670,1469,-1583,180,-180,771,1043,1027,546
1680,1483,-1598,180,-180,845,1018,1026,543
1690,1496,-1612,180,-180,843,1019,980,593
1700,1508,-1624,0,0,888,1019,957,590
1710,1516,-1632,0,0,943,1021,960,663
1720,1521,-1639,0,0,938,995,912,708
1730,1526,-1644,0,0,987,997,888,708
1740,1530,-1647,0,0,989,995,887,754
1750,1532,-1650,0,0,983,965,865,778
1760,1532,-1650,0,0,1011,969,865,777
1770,1531,-1651,0,0,1011,967,842,778
1780,1531,-1652,0,0,1007,969,843,776
1790,1531,-1654,0,0,1009,967,841,778
1800,1531,-1653,0,0,1007,946,840,778
1810,1531,-1653,0,0,1010,969,864,776
1820,1531,-1653,0,0,987,968,864,778
1830,1531,-1653,0,0,987,971,844,778
1840,1531,-1653,0,0,1011,968,841,777
1850,1531,-1653,0,0,1009,967,843,778
1860,1531,-1653,0,0,1009,968,841,776
1870,1531,-1653,0,0,1010,965,841,776
1880,1531,-1653,0,0,1014,968,841,776
1890,1531,-1653,0,0,987,968,843,772
1900,1531,-1653,0,0,1008,965,840,775
1910,1531,-1653,0,0,1010,947,842,777
1920,1531,-1653,0,0,988,954,841,774
1930,1531,-1653,0,0,987,969,843,778
1940,1531,-1653,0,0,1009,970,866,776
1950,1531,-1653,0,0,987,967,863,775
1960,1531,-1653,0,0,985,970,866,778
1970,1531,-1653,0,0,987,969,864,773
1980,1531,-1653,0,0,1012,968,863,775
1990,1531,-1653,0,0,1009,970,865,775
2000,1531,-1653,0,0,1011,966,863,776
2010,1531,-1653,0,0,1006,967,842,778
2020,1531,-1653,0,0,985,944,863,778
2030,1531,-1653,0,0,1007,942,862,775
2040,1531,-1653,0,0,1008,967,864,776
2050,1531,-1653,0,0,1011,968,864,776
2060,1531,-1653,0,0,1008,968,863,775
2070,1531,-1653,0,0,1009,966,865,776
2080,1531,-1653,0,0,1009,968,864,776
2090,1531,-1653,0,0,1007,968,841,778
2100,1531,-1653,0,0,1006,968,842,776
2110,1531,-1653,0,0,1013,971,843,777
